"IPWS1","TMLE2S1","TMLE3S1","IPWS2","TMLE2S2","TMLE3S2"
2.57295148438972,2.73667269752952,2.87553995736648,2.9729569992807,2.79489234526143,2.90844855332916
2.91818749315798,2.92764362406714,2.96548416203607,3.03784049943269,2.96863516251808,2.95603221753092
2.94210517902403,3.03826637031069,3.04025460033955,3.1486419203129,3.10450078384316,3.05994779901228
1.12811956999505,3.15347524486411,3.09797838540484,2.16806602634363,3.17104301249308,3.08321478507808
3.11566968753705,3.14075389737956,3.14649335032856,3.02778409292318,3.18525115024707,3.11159012469165
2.44551383912398,3.11123661049388,3.04578494401118,2.53964616104105,3.05226778805222,3.01079323519459
2.41789676694461,3.12929442435933,3.02088648844623,2.73258308897091,3.07238147529779,3.00733382190778
2.0789986642972,2.98419293812755,2.99058108998904,2.04662415911509,2.98392199863471,2.96764530468083
3.18911877329584,3.14941209993038,3.12621297204533,3.23731870843639,3.07142823998035,3.06266412977191
2.31735825587661,2.99909662994473,3.04438793390801,2.77557256207618,3.02519547305203,3.04469221245124
2.19633447180105,3.06171282085909,2.99149178390331,2.89159098551765,2.9996633258312,2.98165546240944
0.864745932616446,2.76538347249645,2.94448564463579,0.947519447671994,2.89346419880921,2.98597425175064
2.83485634473298,3.09312750940952,3.09538871709046,2.89915511345971,3.06283368917812,3.08629032325888
3.36783425646669,3.15924048917004,3.05338053278594,3.21497052316231,3.17549342989258,3.04766678523626
3.38782964699779,2.90169248053816,2.88469682998044,3.57333290706179,2.91350068110013,2.88823551128819
2.95705972350208,3.03608058316532,2.92789687598753,2.9189834340141,2.92144758335871,2.91953908577443
2.2228040890452,2.71882404357508,2.78796173571145,2.58896876145382,2.7638916740413,2.80557656273645
0.978081496327786,2.95595412978735,3.09180438074748,0.74284464093755,3.00470538987012,3.0575417492026
3.26688819156473,3.11246765469485,3.10741340577663,3.05768091483418,3.09065651615354,3.08139550823009
2.78851940428719,2.89688759239054,2.96330180366879,3.05764666429626,2.92047261926255,2.95299202949692
3.35333138004658,3.0096899858153,2.98881599255413,3.22392177955394,2.99469620675416,2.98689954540236
2.50314868898998,3.08004957736591,3.068104961584,1.16213190488291,3.11982767803541,3.07666235101741
3.19835541053967,3.19603022454497,3.13260029188294,3.16288512810618,3.17703366286628,3.12827765002326
2.75432297022598,3.00020023820489,2.96361112623196,2.58803102836679,2.93809310756393,2.98423504749993
-0.979808437118675,2.80508383633612,3.02388093887232,1.64752136786156,2.87725731647421,3.00252788069007
1.6510759927977,3.21951609485922,3.1230615459786,1.77457518839364,3.06839691908038,3.06571141785287
3.24164175751703,3.00158262083926,3.08462751571105,2.98288949417857,3.0223549339287,3.06010373283922
2.90561315584212,3.0112672111202,3.06601561385431,2.90562053515696,3.07543326346047,3.09388713152038
3.16663720009951,3.07843059272688,3.06564509386298,3.330439480491,2.99970745759769,3.04778911395039
2.2515413047824,2.91265741160841,2.94721109771155,2.37848505435282,2.97045327938487,2.95419403546595
3.30031409203094,3.0634207075758,3.04123582599823,3.6851750773143,3.08881890442793,3.05415664774591
1.20765152435777,3.05352019146999,3.01899529001774,1.92118461891416,3.02902353323322,3.01698854130645
2.8920653857367,2.95417401159959,3.04808731111626,3.18268556835519,2.96551574404731,3.02182981776312
2.82112228750877,3.17046909602079,3.16664634877764,2.49506883576171,3.14529107291656,3.14372234932571
1.20656232593806,2.96112570540356,2.94438770008011,2.21750491001847,2.96109059673942,2.93956426973953
1.1660248520171,2.80931521892134,2.95191803864545,0.981171155371815,2.93074757194841,2.98173079188785
3.38123189972195,3.13113425115293,3.10218865786194,3.1783812233259,3.08855512236153,3.0868244451213
2.40675239471919,2.76514805850206,2.82672698047663,2.55164617452257,2.77145034454237,2.82542191932122
3.1400958444543,3.15731082255317,3.1253609430375,3.37237661849959,3.15717303238999,3.14858205855708
3.41698421780339,3.09207048085761,3.09819135618138,3.28190504360307,3.07975213159011,3.10001159678952
2.78948038482691,2.9565510388432,2.90626841873184,2.50125536856625,3.01466795247383,2.92163789500834
2.79085574444194,2.95889075585235,3.00152198472279,2.83641670261748,3.01085256934555,3.03393225546252
2.49365697794,2.78734458572761,2.73341970364604,2.64180765580172,2.80419600741927,2.74026471740291
2.84553873094579,3.04864522339123,3.07898117764961,2.37842030200458,2.92964263911767,3.0590911733915
2.73333184716233,2.84779184888391,2.88588961136327,2.87090425062713,2.89677992929788,2.91211859259424
3.18347139595709,3.11962653599677,3.10009384856576,3.6950982687705,3.02456362961619,3.05096600109199
2.46022854894106,3.2790471069459,3.20660928327809,2.8629992564685,3.20479582965062,3.17579849973397
2.80150818350711,2.98649699692379,3.0583670667579,2.53699431083637,2.93075698030925,3.03837404682255
2.04398060777811,2.9751854120379,2.97044877627523,2.41931189610035,3.03058542332591,2.98559891510416
3.17535350861615,3.05008896360858,3.04967419776605,3.19134990770031,3.07144641009316,3.05093270851134
2.83021901241582,3.14314510773435,3.15634220129429,3.02717579577669,3.18791418068189,3.15638436701858
2.01930854486225,2.91918949329125,2.94083484738159,2.43034834027038,3.06527703023633,2.97165104826541
3.61495456182046,3.02815138127191,2.99578401041038,3.3516460648471,3.05417629442801,2.99848022198074
2.53186303063648,2.94794804278591,3.03145657122225,2.43714044764473,2.92225982282425,2.99855927647584
3.09708501667402,2.93701204887204,2.88958222595099,2.80207030470063,2.84801048453888,2.89107721999632
2.66664436068903,2.99923119189869,2.96514842219778,2.51550454993004,3.0110757738348,2.97785756145796
3.09656624746697,2.92142311575887,2.96591142383609,3.63867871416873,2.9923710809223,2.99326181259137
3.22811234061396,3.06403067509544,3.08993130999293,3.25251804096228,3.0422799299875,3.06154290796429
2.98439186068853,2.81749482314309,2.85790314784895,3.02777759611386,2.88151419914929,2.8753667690382
2.3911215254945,3.11112622405197,3.04587632298218,2.73410898331048,3.05413822219879,3.04914932699802
3.86782958012829,3.05955008827347,3.02309640178999,3.42642672134009,3.03183767625101,3.03035314864136
3.30886998593197,3.07477395132432,3.05493594355435,3.34204493621782,2.98642174722822,3.03343738812862
2.33785312278528,2.8981485518873,2.96577472464806,2.12343829955714,2.84990546499092,2.89582993522304
3.11642668554358,2.99911073644811,2.96578290810227,2.52785523778209,2.95867845475631,2.94964916026379
2.63210657861634,2.84332898718819,2.90301607324979,2.38139863383533,2.76861289734771,2.89511813756761
2.37552074823,2.97888716130295,3.04847414868421,3.07166674031874,2.99227555520244,3.01049346612846
2.98902461953375,2.94478128814767,2.9144154764258,3.16398415474818,2.95605296147198,2.91931637582225
2.96149806825575,3.09205921329001,3.01824969321924,3.17920858455521,3.00977153235301,2.97734246801334
2.03766394064619,2.72061592869311,2.89704057586566,1.78276540960354,2.65614489653559,2.87552564642607
3.22425442738717,2.90181609285233,3.04825237133144,3.36432082698704,2.96981119862826,3.0258851509225
2.93265690221679,2.95133027739746,3.02899030370353,3.16807594364789,3.05247991317141,3.03926679879965
0.864726647555911,2.98523655088478,2.93743698728775,2.44785955858829,2.96082136743937,2.92615979633021
3.66728234706181,2.950637376568,2.96076679764996,3.12701905076932,2.99261925519882,2.98574581719799
2.84114724541662,2.80607186385893,2.8424455736088,3.20174524197157,2.80596126136335,2.82412170705532
2.81087787496006,2.83943658316077,2.85485565491455,3.00829821414231,2.83561899220655,2.89383997872636
2.22425380945918,3.13407512412236,3.1272462038387,2.48893378326212,3.12293890989764,3.12590387827507
2.87123918949888,2.90249772520557,2.92555195821139,2.84052981806175,2.95430028678424,2.93479559270477
2.72395005639307,2.99202078965978,3.00846336947661,3.11748432911654,3.03685489603332,3.02189813466808
3.16946804857298,3.26562795300245,3.19750405373233,3.17728425407735,3.168921774862,3.15889559603739
2.71435475116424,3.08501611381479,3.08901334386477,3.05389902101813,3.10264603173587,3.10849917252013
2.75278300694295,2.94768394427571,2.9498966123211,2.92146546410919,2.93682253645233,2.93006732549645
2.64966992623205,2.86789816773863,2.93799913494985,2.50278576666412,2.93993225043553,2.95559138766953
3.14118029364055,2.88046718317285,2.84408581273949,3.23058293909313,2.94710755998179,2.88252006179134
2.60304546854165,3.01655773373962,3.05756848856408,2.47968169120227,2.98921418088641,3.03073280172621
2.60396320747488,2.86435286680166,2.89025410851854,2.61689675071561,2.97095896893983,2.94251378090689
2.70510264561726,2.81702236837797,2.94405435982668,2.89599523472212,2.9025667947806,2.94249141897078
2.59856528019395,3.18512201954066,3.14134927286558,2.48653387219258,3.20435387205253,3.1187209676196
2.22639140578267,2.84970141692499,2.99953990790518,1.16159568388392,2.87217173613155,3.0001494336141
2.92491167295235,3.0642881494521,3.09247471458621,3.3723338844583,3.10090222619406,3.08594359258227
2.3047497087582,3.14017348997961,3.10396091346214,2.70296827374789,3.1150676586389,3.09826766912594
3.07626819309434,3.04925896146018,3.01652640375148,3.41368904820178,3.04919713848173,3.01714381581858
