"Naive","trueTMLE3","TMLE3T1"
6.79341651034342,2.68352436608479,2.64169344826148
6.94933179842138,2.85962362520033,2.67420995742079
7.01464102513704,3.04539673048342,2.96329829816283
6.84138897531511,3.34562108216766,3.2340617812378
7.02163312263358,3.06223508676104,2.95678951496543
6.73898316459453,3.21875907398258,3.1347605280663
6.89046022660452,3.39017926278274,3.32390401786488
6.81742972999878,3.19025321567764,3.0864156796355
6.89764230033513,2.96592455175384,2.97939966493788
7.04402327286031,3.39725395642572,3.32757749660031
6.74043122863557,2.90211572711689,2.69310946547376
6.91530836972394,3.08794518599796,2.94550081748587
6.73739574830323,3.26851819410775,3.2496859876435
6.88286403312316,3.00448172838636,2.96293687936716
6.95473056099232,2.73840805668787,2.72432544031418
7.00898929329316,3.08600813535461,3.19975999230518
6.81137065216136,2.5479621083186,2.47549269881188
6.79784061503183,3.56566237586344,3.41011559968178
6.81899717617016,2.85531491161143,2.70049334022318
6.75773323650482,2.88988172581716,2.6971479516118
6.8188865883994,2.95637147194436,2.93932314179945
6.88025883974894,2.87754991485053,2.78870453338894
6.86897621382821,3.105804294455,3.01650226853929
6.82972769407314,3.29372339291125,3.47158366658878
6.85919087514762,3.21990822921942,3.21449696136853
6.97147461445737,3.46475711213275,3.63797791603763
6.85026853179777,2.99634214724644,2.98591854901311
6.81238442835478,3.16713386479336,3.06981151139073
6.8557200001083,2.95174801257187,2.95517477975572
6.86163075364851,3.06541923043496,3.08313998272733
6.71906497900936,3.01822636764551,2.90042171069699
6.78618475445934,3.37304778761162,3.29228488023872
6.81752783531958,3.25135212113459,3.44612415087909
6.94052323535406,3.17875333758251,3.24220752183971
6.56106204972675,3.27971924622553,3.25823277425916
6.77774602920856,2.7515201247155,2.67852851338687
6.71704430763938,3.11265402256182,3.17289053940739
6.82385629336713,2.90935880889521,2.79522645797413
7.02528043603878,3.14381031397862,3.05335590842961
6.8970938101456,3.01107933510732,3.02364103531768
6.79923774715876,2.7737738468953,2.50399884573578
7.03523852775318,2.88842326693477,2.7980063209187
6.75264337393877,2.83510605966622,2.79701646640498
7.08432139360056,3.06292893861387,2.99618036770059
6.74159910350126,2.78886081519471,2.75389352323588
6.96883626641968,3.103067961877,2.9105178334606
7.04902317741575,3.42241854539621,3.29050535142548
6.83621405497948,3.09129157800821,3.21598678216715
6.73433988258187,2.94153398159342,2.71323600193754
7.09668943957033,3.04167657637171,3.07213400967725
