"TMLE3T2","TMLE3S1","TMLE3S2"
0.0106760343578744,0.0214268815455972,0.013541992738249
0.00824381076103796,0.0201122006574475,0.0113967287630121
0.00978711691016362,0.0194457144448232,0.0120326919510055
0.00817927009098708,0.0124059122917358,0.0094228615267683
0.0095350415249091,0.0230684690388974,0.0102397365748747
0.00855822654590417,0.0128040393553736,0.0112937080883767
0.0100705754825487,0.0161125970758694,0.0126820430658655
0.00795306150654535,0.00949395582924759,0.0087253655183832
0.00961432574139291,0.0213628522751725,0.0116507266948462
0.00814743105118603,0.0111062479674452,0.00916676924336721
0.00986707851853006,0.0127154808890171,0.00980340577046142
0.00885593260321032,0.0110911479816064,0.0088053384294827
0.00811067672811258,0.0121683969081824,0.0077921497865498
0.00869445140625037,0.0182819947117189,0.011744183045127
0.00877854443522555,0.0179942151417948,0.0103239623423247
0.00941736371952495,0.0189508671335084,0.0120999879708325
0.00881515758416302,0.0146486190656104,0.0104570550087011
0.00880784440353419,0.0140504153802441,0.0109549184173888
0.00840876332249065,0.0157176490783503,0.0102466849692295
0.00873370933254222,0.0143894966415745,0.0111786131759603
0.00794928624199562,0.0132816152106588,0.00972276116390863
0.0083722337909715,0.0135931252614719,0.00918594944537317
0.0101380320654566,0.0231351427265014,0.0120478545265469
0.00901229261484275,0.0166252130376758,0.0104061205265514
0.011487871376808,0.0235706093582562,0.0180495740133492
0.00649510191199705,0.00769122310984661,0.00712881822227099
0.00875902164511072,0.022423393174381,0.0125602740807127
0.00999506093410914,0.0183168209862361,0.0144497133986015
0.00837373386554106,0.0124825493987691,0.00994087178446672
0.00882961725186743,0.0154160132312082,0.0100959683227793
0.00807697773018597,0.0139901604506968,0.0100148858006751
0.0101526580509077,0.0245764635053541,0.0182844256297308
0.0089101037202925,0.0153308176444161,0.0106820144027289
0.00921097879073511,0.0163521336411023,0.0113767023679285
0.00741648063967105,0.00953266526424625,0.00762945846171501
0.0105885542519114,0.0163575687091506,0.0114316633568332
0.00962510528116261,0.0236468713727893,0.0128905258610498
0.00898661618895007,0.0138903418847089,0.011652270541598
0.00909837764129367,0.0160014919490358,0.0109141677680301
0.00846628315678284,0.0138656025888831,0.0104882087257209
0.00858793899502754,0.0167390060179459,0.00967790269690173
0.007799189409277,0.0102072386173848,0.00792720322372434
