"TMLE2O1","TMLE3O1","TMLE2O2","TMLE3O2","TMLE2O3","TMLE3O3"
2.72619893542201,2.33675472069511,2.75749549129436,4.28577383334498,2.72157493352287,4.28608341036689
2.94488108107805,2.40799395446381,3.02132082387603,4.46078827879555,3.00543422097509,4.4598725780821
2.98008635242165,2.57310736459062,3.02039762439034,4.52782787488333,3.01351930965056,4.57861254441002
3.22559348736301,2.7089263646859,3.10833097110142,4.52844538875812,3.19453935381134,4.56882944476282
3.15755658472598,2.54457886987874,3.16484237618343,4.6092180420222,3.15912786873037,4.58339146145203
3.09778191301612,2.55771712959735,3.00748440217528,4.45740560147886,3.06630257595616,4.49077199328942
3.26151500041389,2.49441257518433,3.13318464488755,4.44964264080469,3.22004680277347,4.45315056897793
3.07634245367599,2.5925004170344,2.9610266389167,4.41970344481182,3.01664883307816,4.47450412912058
3.00291762447092,2.49741195828407,3.08099664144009,4.51765933632827,3.03973894224674,4.51650632708021
3.16477089110116,2.63323406645225,3.12552509957286,4.6279332468676,3.17387772402727,4.67274363043806
3.07482486451839,2.54122686357238,3.01478725625515,4.57445412700662,3.06008808138157,4.5967801337133
2.89384196911518,2.55369541915101,2.78505791988927,4.4304529384675,2.82072345835686,4.47259412308138
3.15454471387728,2.64297646059212,3.08689358507229,4.50788278656712,3.14248508561599,4.50697307979683
3.03109813850895,2.39028954133281,3.11016431142851,4.38300092981707,3.07625215205114,4.35120801501533
2.76432346182376,2.3313144646877,2.95094762557527,4.42254377837073,2.88943620462217,4.42715183624735
3.03391180198114,2.36858374035925,3.02829647850836,4.32552894883571,3.03678504808247,4.32864374951918
2.61499070688573,2.2141311103013,2.69934683756305,4.31399572596256,2.63791748332357,4.31772644450131
3.234209193578,2.68823921972494,3.03702598663557,4.51623354565134,3.16305742594765,4.54640475831996
3.01657876650916,2.49030523088324,3.17903733451138,4.53945852150541,3.1183985006666,4.5242339088836
2.9419484509086,2.46240738991117,2.94240225674295,4.39257588761978,2.95731403546568,4.38749062481009
2.9772498708131,2.39775496748751,3.01071708639403,4.38564986373188,3.01256549261539,4.39464875332949
2.92264037738262,2.51471721228821,3.02494091106998,4.5109489865341,2.96818532672489,4.51985620663944
3.14079527259409,2.5827342327784,3.23511597059686,4.59644425611357,3.18646657126321,4.59702017596914
3.00737220236101,2.4516052144054,2.97640202626918,4.36573939108287,3.01328109072767,4.40117623447796
3.19878532237826,2.50750354387919,2.96471402421329,4.5771447777017,3.11254957497318,4.60559918630695
3.18704006262982,2.65972455795063,3.10133362821531,4.59462187875696,3.1351914037235,4.65710794564615
2.96318372508202,2.54549303537691,3.03990804891572,4.45068071633563,3.007438925302,4.44349275576079
3.13088262796392,2.64588108759143,3.07256194239285,4.57914059877551,3.12902970822436,4.60582713990418
2.97167167297567,2.51167601746456,3.0691714886729,4.46599648675318,3.02960570817679,4.46583846327442
2.9641809302219,2.42647459786768,2.91023842622564,4.32669734191969,2.92760767483396,4.32570231194709
3.03609920837583,2.46945952878072,3.09070268151417,4.44843057758823,3.07726799300793,4.44391453832138
3.21553729941711,2.6285578844196,3.09212507219566,4.471047742555,3.15063661817357,4.4870411121576
3.07251671416274,2.53658579325793,2.99290462658244,4.42552330210931,3.04385195385831,4.44633088012003
3.09452211548002,2.66321418261131,3.1241152378243,4.52931278098179,3.09773391785348,4.56291920825426
3.03204056931938,2.46729357245488,2.88434498234383,4.22649305565952,2.96149437131804,4.2544671747119
2.77637543652312,2.53170886528521,2.76014052972488,4.40332325708252,2.75043376135532,4.46122451979809
3.01471579313732,2.55810050820979,3.1299981328142,4.5835583796097,3.07244795797542,4.58665985178436
2.91184515198252,2.3577164565383,2.896058595024,4.42131843237299,2.91248500206961,4.4313674378706
3.13061830714637,2.59405446192767,3.15331996461462,4.63468434762702,3.15953992759777,4.65684503254656
3.07073347855001,2.5325959032185,3.16743906897243,4.61332157373089,3.14782432547579,4.5918851195382
2.82853757457475,2.36789172565573,2.88586400342165,4.37961462311057,2.843607979336,4.38376837088443
2.9106281403819,2.53527837022278,2.93736501970401,4.43138908624137,2.91445672874168,4.46620017009861
2.81319776002571,2.23880907116452,2.76772175384692,4.2361938669282,2.7635173972316,4.2567582841451
3.05730453807204,2.51376251494859,3.09918645991972,4.6356050526315,3.08762171540104,4.6392393127052
2.79612007494361,2.305475619603,2.78829923662947,4.22888056413628,2.79099422749878,4.22482490990296
3.0851002504518,2.58208686071582,3.12418537747637,4.58202716403666,3.1259009630143,4.60013930181476
3.33878990780725,2.79269362203547,3.34785138863824,4.70105445938983,3.2921364932678,4.74565896750651
3.01724047812624,2.60164665680308,2.98028856554414,4.58419648766859,2.99427870841047,4.60710347871352
2.97270933186136,2.37235626747808,2.98563361520884,4.44442439244934,2.95867530228802,4.42649738948355
2.96294990243004,2.5354831032481,3.03302842388379,4.61883866939511,2.99092110386474,4.65185998389439
3.15630916294384,2.69859635015698,3.17026227307088,4.56510538140393,3.1045128295832,4.60385204374153
2.91965441330467,2.42541258009827,2.89540785942507,4.46141228551928,2.91014798059753,4.46200667830297
2.98290869463991,2.45913330962801,3.02826830620416,4.35907371496301,3.02013821043293,4.3695701009406
3.04951266113608,2.51911961764147,3.01745466844137,4.62817354608254,3.04215434351157,4.6197010943569
2.86644174653746,2.35768554846935,2.93022522881508,4.37510980237915,2.87437317062596,4.38652376136753
3.06491853453442,2.46479052981875,2.97103496774643,4.45314414123469,3.04324718058401,4.47531064166963
2.85325856894689,2.44616862852496,2.90884513420658,4.4229808938022,2.92147876579577,4.42386755664208
3.01349967797665,2.56774797103428,3.13033954393749,4.53507548050169,3.02989925803873,4.55450460700019
2.72935677855601,2.38590172110745,2.84350202223505,4.42003736717018,2.81669405521359,4.43278139745469
3.12956113847072,2.59236688523699,3.08764998505443,4.48980413842786,3.11121385313248,4.49438163651943
3.14394933526294,2.51235945508256,3.22376801906361,4.62000713847261,3.24513850637587,4.62427757303111
2.95181628167171,2.45214092788094,3.12596237395865,4.61575252801274,3.03163441297906,4.60821378036043
2.96993282576128,2.46725559871136,2.89542322763199,4.53604061447482,2.93585006002904,4.56473061995159
2.94149463523895,2.42896991448398,2.94316977144225,4.32987972967729,2.94387288336654,4.33344795654486
2.80524771698666,2.34446150526746,2.86645273801055,4.37442759911771,2.83434541318135,4.36198263247117
3.05072701135949,2.57596529539085,2.99643110616569,4.4399244023033,3.01787976782367,4.45727458095438
2.95076885065317,2.48214696480193,2.92161296287618,4.33795729679216,2.97834849105446,4.37189565208316
3.07214494060073,2.54915655052584,3.05218007958649,4.5064191387267,3.06692205698386,4.55374024788409
2.69422996901535,2.39125191979834,2.68583015898196,4.30462642609283,2.66089612918639,4.29729857564557
2.87503996774477,2.50549828632107,3.00382537576236,4.51944859772642,2.96053198455133,4.53379438347692
2.90874189251008,2.52594922386009,2.95014497743222,4.45629229488525,2.8983846000036,4.48466279482113
3.24614034604509,2.50007349904005,3.0752903711706,4.53946524511265,3.17062926706722,4.56736622494356
2.89120706734111,2.44482884303862,2.98785698408173,4.48492149688841,2.97281189027005,4.50371074521121
2.7889970393343,2.32500205870515,2.86642694058288,4.48899755778358,2.84777637107462,4.49511673998746
2.80850984479417,2.39802220692133,2.90289425753544,4.45632451314321,2.86772134486822,4.50885156458842
3.23230194187489,2.66374094145338,3.14635917728426,4.49374250391237,3.2032592836037,4.52078605786072
2.84887162413699,2.38348998929819,2.89285992445541,4.33976494210583,2.87429056297455,4.34103603363167
3.02608885312505,2.46961965760524,2.98807316451591,4.52978231073792,3.00138103564914,4.5438706810096
3.19982140650799,2.71986027690253,3.19193393378802,4.66766796113957,3.17870526119069,4.70553388020662
3.05382145261825,2.56372067505683,3.10225264403256,4.57788740513368,3.05227211294992,4.59030261856202
2.8338544035697,2.44640891701207,2.89586934170489,4.3705258833586,2.82812806702898,4.38665291784551
2.89660576504132,2.44670777952116,2.89838342485642,4.34127972507742,2.8821235276604,4.34860539166081
2.83448358297435,2.36565489959744,2.87475255137774,4.33654801902794,2.87793478908084,4.36806224777021
2.97586457137894,2.559030254697,2.97614480326696,4.55755036686892,2.97831735784576,4.56966459208884
2.83257783833492,2.39823356289969,2.86589422187003,4.33538715340407,2.83381570740194,4.35434313520473
2.92550823518401,2.4274582804403,2.93643769425511,4.46374069921399,2.94919384902433,4.45433791645202
3.14870567965432,2.58389043641793,3.14836324516447,4.60839959945656,3.15750290372012,4.61238705392446
2.89513002134249,2.49933463527032,2.97682453329721,4.56473594873064,2.93708486703309,4.57730230235765
3.03850702475233,2.6012578288979,3.05215724673326,4.53587633217133,3.0780528149848,4.58408434278306
3.05492290979066,2.57467278589369,3.06338382268606,4.53572064595872,3.03225559252739,4.54199835375256
3.02056049616311,2.40999600199506,3.12024855827568,4.51858590545971,3.08584627168505,4.50273570141908
2.85565774827493,2.37147754697555,2.92612408801133,4.41118447551471,2.90955770353728,4.41775483242839
3.03997157240916,2.61198226625099,3.08773903965625,4.50702790475576,3.09193648523493,4.5333942395736
2.92261713523816,2.53509119613083,3.02153463154673,4.42868879121821,2.95590555471253,4.4318953437418
3.02440382246164,2.38980600739474,3.03621288367456,4.4846665229745,3.01864380900993,4.47478448507431
2.86001449931777,2.35198933401395,2.92028224714591,4.36177869690655,2.90253469084968,4.36564638479298
3.0695964663338,2.60144554685398,3.15777881439426,4.48258316346401,3.12302740112318,4.4797620075497
2.8297727082169,2.41199838461232,2.92424025600487,4.31752417148766,2.86450316737626,4.3394013644907
3.05990553259388,2.56131406236684,3.10604053567191,4.50262110351688,3.08596936786887,4.55659953025599
3.05516264991347,2.63499192265667,3.14684146751615,4.60288724044207,3.11518478284558,4.59843492216801
3.09613717889546,2.55305580182606,3.08596550460886,4.51664531715476,3.09015750839615,4.53076464214322
2.99706923632843,2.48084036305886,3.01587787496705,4.43884812139952,3.02894407410181,4.4534320925583
3.12285469868727,2.52722126245689,2.9744267779443,4.54711824655965,3.05024640953465,4.57185053978842
2.75909382443411,2.34020897751275,2.91311428755372,4.37268245418006,2.8165537285501,4.38162287456843
2.71620328986155,2.41577206455609,2.81951936435755,4.37656522661811,2.77285729419994,4.38625513605935
3.13759419403612,2.61439519678449,3.19204397021214,4.50418317889787,3.1519629653382,4.51000872643352
2.95270931047565,2.50909222684602,3.00033671982294,4.49819829393074,2.98160455761531,4.49674622413514
2.97251883208898,2.37249600209418,3.01082793141194,4.34002330676735,2.97508601377625,4.33595288373341
3.05508657430831,2.49048498251118,3.01296970876258,4.42263576304498,3.01613839117465,4.41931454715084
3.19354288762941,2.62533164025634,3.24347741398896,4.66807852906487,3.25513795814538,4.66706508383743
3.0458375037947,2.46937278881564,3.0219452424964,4.48003245211321,3.06942168904114,4.46482526759659
2.77220551910494,2.35927180882947,2.84158780375938,4.3588585868694,2.83134741752812,4.34782650052173
3.01608184898016,2.52364592102469,3.10621740127673,4.49935538158424,3.06240224181801,4.4965278244184
2.94163272872082,2.50598229940649,3.01456455887916,4.4515489330657,2.96913518117692,4.45251665008717
3.04813733209818,2.52209210070137,2.91590345649871,4.36034861844137,2.95497562137901,4.38773114284715
3.08356194904205,2.60275465880226,3.0129964974305,4.53533128367649,3.0067334134876,4.57759947891547
3.12524210065701,2.62383617282635,3.15481728772083,4.58956162821349,3.14019530180699,4.60749159058241
3.08847499646828,2.58108313132273,2.92208210783662,4.47024654517175,2.98037190457265,4.49445226599984
2.76299374623188,2.30548411972598,2.79467785161846,4.32817534278597,2.76559523080482,4.32517325166502
3.12386201125208,2.67161031072162,3.11380710173474,4.53007281702122,3.12343692717865,4.57694981992848
3.00566110241464,2.45378388190781,3.05243948971464,4.45595418414006,3.01072101375999,4.46929514714159
3.1621848042865,2.5858090309568,3.11887767471828,4.43846687549745,3.14536512494862,4.45914281445689
2.86156721617009,2.42423782956448,2.93526161160028,4.40161430428572,2.90529794380107,4.40897932740438
2.64121402646006,2.30547901696114,2.73451967625121,4.26813992932373,2.63702249041934,4.24973747653141
2.86455409549518,2.27346697876303,3.0062891428566,4.44168873415068,2.97401509238366,4.41372205464399
3.02584443924863,2.61358382355999,3.08408753558871,4.52111169839393,3.07130450581111,4.52614826357313
2.86571343009818,2.45191873680185,2.86708524451296,4.41981287774769,2.86570262304439,4.44327767656739
3.00078621529408,2.32535825143085,3.00987742091415,4.41327854556259,3.00031304547157,4.42009824838685
3.01118445825793,2.5496196012132,3.04056339782917,4.43169753024911,2.99168320616577,4.4280427431604
2.96985209092896,2.45166377386529,3.16939245445801,4.52329633512069,3.07965204277341,4.49807263780306
3.03260719631237,2.61374864049172,3.04203479890631,4.54333261389377,3.06225845903907,4.55098283838669
2.99384156774908,2.51046088875599,3.07450482047182,4.56563104020724,2.98276018749139,4.55243976934736
2.98952495598178,2.46105882884017,2.9712018886955,4.45432415626867,2.97351699627164,4.5144154293083
2.87821123953921,2.39995460850376,2.86229356779633,4.4537105187895,2.87765115877251,4.45512967967247
3.15846816964087,2.56862590818178,3.02227944101604,4.52335974834632,3.08552363398966,4.53849275024446
3.24846848661799,2.68263912347583,3.22509600126246,4.48598583099477,3.21969751859516,4.53126976444515
2.82708587055552,2.39741385441974,2.87756703728238,4.36324292144632,2.84951257660528,4.37410665609823
3.08921667852996,2.61953777419424,3.19504485626425,4.56289365298731,3.13387831874952,4.55468636846089
3.00181130709061,2.58905138947075,3.0324797487025,4.50377535245054,2.9853815903316,4.53720798803233
3.08605542488801,2.53880747756008,3.06629969999188,4.48933185631032,3.11897813824932,4.53461070678865
2.88638160238073,2.31410781532001,2.83492952726145,4.48755099735694,2.84548235255029,4.48098961585624
3.09876284048375,2.45047127127315,3.12837656626204,4.55145658485665,3.13513695792212,4.54044290383208
3.03337409170159,2.65725498749866,3.04598277533047,4.62830839408131,3.09014526829225,4.65933302565463
3.11739895679535,2.59455725908273,3.03857223829294,4.53086538328249,3.06459543584824,4.55521940289936
3.16907866003576,2.46989702577729,3.12756981373151,4.45735944603362,3.1332588707324,4.47404095212538
3.1053631143013,2.55399326452615,3.21266898702318,4.5314389013881,3.17690420254,4.53098391869473
3.24337075808504,2.58508231910131,3.30051958442022,4.67495815417837,3.28497262057112,4.66647974719507
2.98575199435592,2.48380672300321,3.02581101505757,4.52715716319045,3.01666851703616,4.52712630464807
