"TMLE3T2","TMLE3S1","TMLE3S2"
2.86544976359171,2.76445697331639,2.80901572472452
3.02597134100414,2.96009854805072,3.00575288237105
2.99593860148018,2.99241379809064,3.03224361905871
3.13293782533139,3.14575394435952,3.14078508336239
3.09552077246617,3.143528690713,3.15333766677541
2.9835552124965,3.05148188209876,2.99266746281535
3.02345595245381,3.05229331024553,3.06213567508688
2.94831800566386,2.94890141694393,2.95153192333607
3.05990577782445,3.13474660207516,3.05874400892336
3.05941451119104,2.99515791466744,2.99465582838332
3.05041985706489,3.05859934969641,3.04676297658811
2.89615458954611,2.84709982598836,2.92991928634383
3.01829955397548,3.04476229966487,3.03903177478264
3.05943868604575,3.13796288777464,3.11547632935356
2.88947891014991,2.91094182553015,2.91423531272393
2.98323624558851,3.05034083789863,2.94453329232155
2.80874114666243,2.69922719293258,2.74470586312064
2.99114180102131,2.97048547503907,3.00758671796241
3.081938943239,3.13496649991922,3.12078615343644
2.92344753340612,2.86270962447154,2.88867732913008
2.96979570173661,2.96001161904437,2.94905296630422
3.05220024677405,3.03070006569252,3.0587176014
3.12006165349814,3.21507315199441,3.15104026511323
2.93828037722223,2.99809209100749,2.95572810633918
2.9612620199782,2.91650840884705,2.94088885409377
3.10434387217422,3.10774425513065,3.06281394460009
3.0677327103433,2.99097059733591,3.02770460941313
3.12502730989626,3.04083591046959,3.09225330894718
3.02314569112125,3.06300356760569,3.0005310435903
2.99142081464364,2.94204414198565,2.98038467254193
3.0608303247136,3.04941417647781,3.0737081475963
3.01568679370011,3.00989340800733,3.01726190339579
2.99935028282311,2.94115736285681,2.95643624886507
3.16384661645636,3.11615569313215,3.0916935432813
2.85835735477226,2.88713889826901,2.90098722765955
2.92745028579413,2.77331042445941,2.8943969571036
3.07547161185943,3.11405970500255,3.07545546964812
2.87182952083202,2.8445000748883,2.86604995594762
3.13238075179188,3.16256675909569,3.16566882268163
3.06207144015848,3.09276450777083,3.07915173052974
2.95613591485803,2.94372996963142,2.98954773294342
2.99222440156327,2.97401081213289,3.02456738044451
2.7613927877051,2.7573013431445,2.7584310132501
3.0546686482332,3.12689491719621,3.03058696187682
2.86637472106157,2.83275849769037,2.86971896980373
3.01799814810768,3.08887628124341,3.02687746814227
3.17800796852695,3.20470568285383,3.17291098900841
2.96960081416764,2.99289480187644,2.95311374776959
2.96710995015098,2.95298220478165,2.97169557452703
3.04072466467334,3.05950323053883,3.07688704740358
3.15185251289584,3.19907411840357,3.22242642283376
2.97484146893091,2.95752308302294,3.02044183593608
3.05129774450254,3.04205591350415,3.05735347863969
3.00168709907604,2.99742029778503,3.00551926053313
2.9078159480105,2.97621320516466,2.89659747698775
3.00528116119589,2.99832115001073,2.99922684318944
