"IPWT1","TMLE2T1","TMLE3T1","IPWT2","TMLE2T2","TMLE3T2"
2.45928689128704,2.78516200411324,2.91132103037361,4.7462753637958,2.84959762066326,2.93361599673996
2.83427633017814,2.97902833464232,3.0194020956047,4.94509659711285,3.0462966497546,3.01109126188869
2.97852082817114,3.01261582829693,3.02085199797368,5.04786532163844,2.99478044095711,3.00124477916511
2.49066904722931,3.10194671200086,3.10237838651356,4.90527477453966,3.10751879496946,3.09073298571401
3.04325448460506,3.14833121150629,3.16911706357416,4.92703515434484,3.1224605679996,3.10098891992148
2.90890094925243,3.02758374533888,2.98239124209391,4.76532955542261,2.96102904568006,2.9428291601913
3.16153681410209,3.07758082705608,3.02985232656803,4.95383819163151,3.05626169255414,3.00249682390946
2.67785710699135,2.9635628950838,2.98516135428397,4.83077103942316,2.91757435794581,2.95269605125097
3.13249580976977,3.10887386899146,3.10003383440363,4.87156474394687,3.05719007610584,3.04459216126022
3.17726410201121,3.05623861483942,3.10324055099304,5.06782232886954,3.00054460380135,3.07639443811555
1.16449651764692,2.88659575821064,3.06270417112371,4.83509942056542,3.01032022112713,3.06180467427619
2.34059062906897,2.74890072015144,2.96440490390864,4.63335920318884,2.88336098215646,2.96323899675422
3.20602123900629,3.06049911353828,3.09459797394644,4.97955543168184,3.01720480546195,3.05466370680915
3.23323913477939,3.07780605291397,3.01529569835478,5.03521050215235,3.07752698097273,3.00100887483492
3.07783248701144,2.89875678431947,2.89888599235435,4.88765600780756,2.90979381118172,2.89777194794931
3.10299237941897,3.11694493960297,3.00061977741135,5.01866146095413,2.9825773806017,2.99063615221905
2.31493998675005,2.68306285650621,2.81413169061653,4.61530630973861,2.75595287488326,2.82822399228654
2.92816445309792,3.00007977673218,3.08374387228571,4.85608924416007,3.00069978756003,3.03095017196807
2.97280085692197,3.13298017372407,3.13086272235284,4.99823543493793,3.12731956067847,3.09173907193931
2.59565427047006,2.86620320582187,2.94106032775092,4.81677641443803,2.92444555226485,2.92079154961644
3.12455604591164,3.02166084571904,2.95867429113411,4.8408185487946,3.01562633811921,2.96358794021174
2.9813828300841,3.02637440816683,3.03224600739394,5.02330594891481,3.0735503366924,3.04377482692415
3.13322258990903,3.26168690848789,3.13580552087086,4.88920174006992,3.15207532870912,3.10663852816135
3.24163003589804,2.93456664835534,2.93339371419768,4.92449707717589,2.94574250934656,2.95620216076184
2.70302846057344,2.96839571796967,3.04677421884285,4.79342082817404,2.91023745240624,3.00811803390748
2.82805109126133,3.14642578396296,3.12479848980187,4.86564263857015,3.09850548845728,3.08282295385913
3.21649758361361,3.02183339365647,3.11432836758527,4.92446381418016,3.07762342404427,3.08191546597688
3.07201873797749,3.04129221507375,3.12287229357346,4.95856841963031,3.04273299419789,3.14623654506902
2.94779456711728,3.09263785243173,3.055359445977,4.94382023636649,3.03357831652796,3.03739939647063
2.81798560141509,2.93506512828718,2.98666366205059,4.8602253279867,2.98523420836293,2.99035263369732
3.14544202325444,3.05438983221493,3.06903258856629,4.87719347251164,3.05868355296576,3.05629248632019
3.01392350898126,3.13796218811789,3.03582535760127,4.90082469358489,3.08056477657439,3.03184537127956
3.20990412279305,3.00380405082025,3.0678171428317,4.79772422727432,3.0032489000703,3.0214962955614
3.1860183262058,3.18983441015083,3.18947844644873,4.96956055734864,3.15831330704192,3.14752983998298
2.34246062643178,2.89651018999549,2.89469975703531,4.55134113784481,2.90710066803465,2.86337923008165
-1.18387889602736,2.66950293148873,2.93454082531687,4.619508250561,2.8472964243265,2.96091040796301
3.2898434500324,3.09151274613969,3.0852737298161,4.93318995085522,3.10613566989431,3.04882554690128
2.75695026708264,2.8959166730139,2.90053997420306,4.74447023366953,2.91601888796518,2.8976434956373
3.10383090219473,3.16590123431318,3.13550630241302,4.98350646660971,3.16610062468642,3.14758191243479
3.31903868814543,3.11750640957407,3.0889789288109,4.99625120162598,3.09778325870545,3.06122383192783
2.43779139541902,2.78146802796689,2.89263043460356,4.76486161957404,2.95616590441442,2.92021240691411
2.71821161431919,2.95396632448586,3.01578356380751,4.83548870552846,2.99619078704016,3.02569112245842
2.73319905205041,2.87263076389811,2.73915103600293,4.62772373441269,2.77969511124553,2.74369673140448
3.17970756241891,3.14369094241447,3.11182016602052,4.98280307842227,3.07408274640439,3.09007989308692
