"Naive","trueIPTW","trueIPSW","trueIPTSvyW","trueIPW","trueTMLE2","trueTMLE3"
9.71412703046997,4.58593303904098,7.95433107814789,3.32567760375228,2.70503059083509,2.77921329997914,2.88897097611497
9.99544225262516,4.65266344291098,8.22631643522689,3.49734428645894,3.12408989118153,2.93124007339908,2.95237043726927
9.96708727996086,4.74735496852547,8.41081486740151,3.49995422719833,3.28637891817118,3.05303710537726,3.05295153088078
9.77912035423711,4.44080628872477,7.88291972484573,2.70826451306772,2.51564547473312,3.14755299545094,3.09189582338192
9.79893441184518,4.96150216194643,8.07092921273567,3.55712587672698,3.27368869355301,3.17989550616501,3.14729053738236
9.64821018882929,4.66022890847965,7.93613771675964,3.05058239955355,2.964861301751,3.07245349346856,3.02671487851204
9.92893707078627,4.6177154291707,8.0840767768391,3.25458560428793,3.0781603713896,3.10157036243098,3.00336888575674
9.60450597901819,4.17991121407592,7.85333774046379,2.50065590393792,2.56049429781206,2.97862760759331,2.98871305330749
9.71176115884152,4.81267828110518,7.92727440293677,3.56573696971242,3.27965510989433,3.10525059467082,3.09948758245131
9.96298886535234,4.64141266037053,8.24880253047076,3.31712212108025,3.18887092536062,3.03533527014795,3.06430026171072
9.58608397775625,4.68331026944131,7.95067695990006,3.32456307120639,2.82361675252996,2.97767141020668,2.98390355077192
10.1064876679943,3.99835100462103,7.72548726252502,1.68596425756049,1.58917786243201,2.81836972414482,2.97249520579173
9.85017592582057,4.74644222541815,8.17305010302655,3.31236568873891,3.14196132616883,3.07355607493682,3.09529476344997
10.048905227979,4.76858232381069,8.37020838070231,3.60796443519149,3.39143075263063,3.10235987528497,3.02707398610221
9.92855704108544,4.94687815454972,8.27050019017217,3.86712358554632,3.39119480910491,2.87919991802521,2.87287360478095
10.095206447655,4.78526010992742,8.1725566089375,3.29565878372859,3.12866591977418,3.01063227579739,2.91130445313597
9.92579372470358,4.42874569308321,7.87923381891061,3.0392245376035,2.35316272808074,2.71419417683178,2.78653446343462
9.71729382032255,3.91505354719733,7.79129858448535,1.57547477363111,2.05993715459243,3.01138260785061,3.0944711854953
9.59175701660885,4.48650950617454,8.27509410931445,3.37987946204766,3.37278920966699,3.14820867732893,3.10601527537475
9.80550331116362,4.6572410446792,7.9846008912457,3.41915120433349,2.94654939037007,2.94873002501632,2.97281174187161
9.67589649008653,4.72331336561956,8.08003541732282,3.59725846223218,3.50760077850742,3.03151433926249,2.98446580382797
9.80478813424135,3.50631251197337,8.39343278482549,1.62411493808651,2.44603949959686,3.07026655701459,3.07089891866277
9.7800240847965,4.8672668242835,8.086740751432,3.50617265381951,3.30193136775404,3.23732428453453,3.14784039913223
9.65818156935033,4.62016299538296,8.09603918889889,3.13424064675152,3.28583126908028,2.96683476699501,2.95489018639439
9.85582844968123,4.80167466244679,7.95201961339086,2.71562708761385,2.25057621263134,2.8733961467915,3.05147322934872
9.7031843568506,4.20009241784128,7.97762423767456,2.33362932412637,2.50628940969918,3.1500923081925,3.11961532738415
